Jurisdiction,Year,Industry,Unit,Quantity
NSW,1985,Total,PJ,1108.7
NSW,1985,Transport,PJ,305
NSW,1985,Water and waste,PJ,2.2
NSW,1986,Agriculture,PJ,10.1
NSW,1986,Commercial and services,PJ,40.8
NSW,1986,Construction,PJ,6.7
NSW,1986,Electricity generation,PJ,311.5
NSW,1986,Manufacturing,PJ,338.1
NSW,1986,Mining,PJ,10.3
NSW,1986,Other,PJ,21
NSW,1986,Residential,PJ,90.4
NSW,1986,Total,PJ,1137.1
NSW,1986,Transport,PJ,306.1
NSW,1986,Water and waste,PJ,2.1
NSW,1987,Agriculture,PJ,9.5
NSW,1987,Commercial and services,PJ,42.8
NSW,1987,Construction,PJ,7.3
NSW,1987,Electricity generation,PJ,314.2
NSW,1987,Manufacturing,PJ,324.6
NSW,1987,Mining,PJ,9.8
NSW,1987,Other,PJ,19.9
NSW,1987,Residential,PJ,91.5
NSW,1987,Total,PJ,1143.3
NSW,1987,Transport,PJ,321.6
NSW,1987,Water and waste,PJ,2.1
NSW,1988,Agriculture,PJ,10.6
NSW,1988,Commercial and services,PJ,45.1
NSW,1988,Construction,PJ,7.2
NSW,1988,Electricity generation,PJ,327.5
NSW,1988,Manufacturing,PJ,343.7
NSW,1988,Mining,PJ,11.3
NSW,1988,Other,PJ,20.9
NSW,1988,Residential,PJ,91.8
NSW,1988,Total,PJ,1194.2
NSW,1988,Transport,PJ,333.9
NSW,1988,Water and waste,PJ,2.2
NSW,1989,Agriculture,PJ,9.9
NSW,1989,Commercial and services,PJ,47.9
NSW,1989,Construction,PJ,7.3
NSW,1989,Electricity generation,PJ,333.5
NSW,1989,Manufacturing,PJ,362.5
NSW,1989,Mining,PJ,13
NSW,1989,Other,PJ,24
NSW,1989,Residential,PJ,97.8
NSW,1989,Total,PJ,1230.4
NSW,1989,Transport,PJ,332.3
NSW,1989,Water and waste,PJ,2.2
NSW,1990,Agriculture,PJ,10.8
NSW,1990,Commercial and services,PJ,50.2
NSW,1990,Construction,PJ,7.1
NSW,1990,Electricity generation,PJ,325.3
NSW,1990,Manufacturing,PJ,361.7
NSW,1990,Mining,PJ,13.1
NSW,1990,Other,PJ,23
NSW,1990,Residential,PJ,100.7
NSW,1990,Total,PJ,1228.6
NSW,1990,Transport,PJ,334.5
NSW,1990,Water and waste,PJ,2.2
NSW,1991,Agriculture,PJ,11.3
NSW,1991,Commercial and services,PJ,50.6
NSW,1991,Construction,PJ,6.9
NSW,1991,Electricity generation,PJ,328.2
NSW,1991,Manufacturing,PJ,339.7
NSW,1991,Mining,PJ,13.4
NSW,1991,Other,PJ,22.9
NSW,1991,Residential,PJ,102.3
NSW,1991,Total,PJ,1219.4
NSW,1991,Transport,PJ,342
NSW,1991,Water and waste,PJ,2.2
NSW,1992,Agriculture,PJ,11.7
NSW,1992,Commercial and services,PJ,51.4
NSW,1992,Construction,PJ,6.6
NSW,1992,Electricity generation,PJ,338.3
NSW,1992,Manufacturing,PJ,345.2
NSW,1992,Mining,PJ,13.5
NSW,1992,Other,PJ,23.6
NSW,1992,Residential,PJ,106.4
NSW,1992,Total,PJ,1249.1
NSW,1992,Transport,PJ,350.1
NSW,1992,Water and waste,PJ,2.2
NSW,1993,Agriculture,PJ,11.9
NSW,1993,Commercial and services,PJ,51.6
NSW,1993,Construction,PJ,6.4
NSW,1993,Electricity generation,PJ,346.3
NSW,1993,Manufacturing,PJ,356
NSW,1993,Mining,PJ,14
NSW,1993,Other,PJ,24.9
NSW,1993,Residential,PJ,106.4
NSW,1993,Total,PJ,1276.7
NSW,1993,Transport,PJ,356.9
NSW,1993,Water and waste,PJ,2.2
NSW,1994,Agriculture,PJ,12.4
NSW,1994,Commercial and services,PJ,54.2
NSW,1994,Construction,PJ,6.2
NSW,1994,Electricity generation,PJ,354
NSW,1994,Manufacturing,PJ,361.9
NSW,1994,Mining,PJ,14.4
NSW,1994,Other,PJ,22.8
NSW,1994,Residential,PJ,109.3
NSW,1994,Total,PJ,1314.6
NSW,1994,Transport,PJ,377.1
NSW,1994,Water and waste,PJ,2.3
NSW,1995,Agriculture,PJ,12.8
NSW,1995,Commercial and services,PJ,59.3
NSW,1995,Construction,PJ,6
NSW,1995,Electricity generation,PJ,371.3
NSW,1995,Manufacturing,PJ,353.9
NSW,1995,Mining,PJ,15.7
NSW,1995,Other,PJ,23.2
NSW,1995,Residential,PJ,111.8
NSW,1995,Total,PJ,1351.2
NSW,1995,Transport,PJ,394.9
NSW,1995,Water and waste,PJ,2.3
NSW,1996,Agriculture,PJ,13.2
NSW,1996,Commercial and services,PJ,60.6
NSW,1996,Construction,PJ,5.8
NSW,1996,Electricity generation,PJ,380.6
NSW,1996,Manufacturing,PJ,361.9
NSW,1996,Mining,PJ,16.7
NSW,1996,Other,PJ,27.1
NSW,1996,Residential,PJ,115.3
NSW,1996,Total,PJ,1380.6
NSW,1996,Transport,PJ,397
NSW,1996,Water and waste,PJ,2.4
NSW,1997,Agriculture,PJ,14
NSW,1997,Commercial and services,PJ,64.6
NSW,1997,Construction,PJ,5.6
NSW,1997,Electricity generation,PJ,378.9
NSW,1997,Manufacturing,PJ,357.3
NSW,1997,Mining,PJ,17.9
NSW,1997,Other,PJ,25.4
NSW,1997,Residential,PJ,116.7
NSW,1997,Total,PJ,1382
NSW,1997,Transport,PJ,399.2
NSW,1997,Water and waste,PJ,2.4
NSW,1998,Agriculture,PJ,13.9
NSW,1998,Commercial and services,PJ,68.1
NSW,1998,Construction,PJ,5.4
NSW,1998,Electricity generation,PJ,386.2
NSW,1998,Manufacturing,PJ,369.4
NSW,1998,Mining,PJ,18.5
NSW,1998,Other,PJ,24.2
NSW,1998,Residential,PJ,119
NSW,1998,Total,PJ,1413.8
NSW,1998,Transport,PJ,406.6
NSW,1998,Water and waste,PJ,2.5
NSW,1999,Agriculture,PJ,14.2
NSW,1999,Commercial and services,PJ,69.5
NSW,1999,Construction,PJ,5.3
NSW,1999,Electricity generation,PJ,393.3
NSW,1999,Manufacturing,PJ,353.9
NSW,1999,Mining,PJ,18.5
NSW,1999,Other,PJ,25.7
NSW,1999,Residential,PJ,122
NSW,1999,Total,PJ,1426.3
NSW,1999,Transport,PJ,421.3
NSW,1999,Water and waste,PJ,2.6
NSW,2000,Agriculture,PJ,29
NSW,2000,Commercial and services,PJ,60.3
NSW,2000,Construction,PJ,5.1
NSW,2000,Electricity generation,PJ,426.2
NSW,2000,Manufacturing,PJ,345.8
NSW,2000,Mining,PJ,23.3
NSW,2000,Other,PJ,20.6
NSW,2000,Residential,PJ,123.7
NSW,2000,Total,PJ,1450.5
NSW,2000,Transport,PJ,412.4
NSW,2000,Water and waste,PJ,4.1
NSW,2001,Agriculture,PJ,29.6
NSW,2001,Commercial and services,PJ,62.6
NSW,2001,Construction,PJ,5.2
NSW,2001,Electricity generation,PJ,429.9
NSW,2001,Manufacturing,PJ,355.4
NSW,2001,Mining,PJ,24.6
NSW,2001,Other,PJ,20.6
NSW,2001,Residential,PJ,112.6
NSW,2001,Total,PJ,1445.7
NSW,2001,Transport,PJ,401
NSW,2001,Water and waste,PJ,4.2
NSW,2002,Agriculture,PJ,30.669
NSW,2002,Commercial and services,PJ,72.489
NSW,2002,Construction,PJ,5.02
NSW,2002,Electricity generation,PJ,442.473
NSW,2002,Manufacturing,PJ,364.138
NSW,2002,Mining,PJ,27.158
NSW,2002,Other,PJ,19.02
NSW,2002,Residential,PJ,126.204
NSW,2002,Total,PJ,1510.475
NSW,2002,Transport,PJ,418.491
NSW,2002,Water and waste,PJ,4.813
NSW,2003,Agriculture,PJ,29.827
NSW,2003,Commercial and services,PJ,74.04
NSW,2003,Construction,PJ,4.057
NSW,2003,Electricity generation,PJ,463.169
NSW,2003,Manufacturing,PJ,380.225
NSW,2003,Mining,PJ,33.036
NSW,2003,Other,PJ,20.134
NSW,2003,Residential,PJ,126.686
NSW,2003,Total,PJ,1574.793
NSW,2003,Transport,PJ,438.463
NSW,2003,Water and waste,PJ,5.155
NSW,2004,Agriculture,PJ,29.414
NSW,2004,Commercial and services,PJ,73.814
NSW,2004,Construction,PJ,3.56
NSW,2004,Electricity generation,PJ,457.028
NSW,2004,Manufacturing,PJ,344.658
NSW,2004,Mining,PJ,35.992
NSW,2004,Other,PJ,20.233
NSW,2004,Residential,PJ,124.153
NSW,2004,Total,PJ,1544.916
NSW,2004,Transport,PJ,450.772
NSW,2004,Water and waste,PJ,5.292
NSW,2005,Agriculture,PJ,29.597
NSW,2005,Commercial and services,PJ,74.655
NSW,2005,Construction,PJ,4.833
NSW,2005,Electricity generation,PJ,462.446
NSW,2005,Manufacturing,PJ,331.038
NSW,2005,Mining,PJ,34.76
NSW,2005,Other,PJ,21.109
NSW,2005,Residential,PJ,125.337
NSW,2005,Total,PJ,1545.985
NSW,2005,Transport,PJ,456.464
NSW,2005,Water and waste,PJ,5.745
NSW,2006,Agriculture,PJ,29.202
NSW,2006,Commercial and services,PJ,77.567
NSW,2006,Construction,PJ,4.838
NSW,2006,Electricity generation,PJ,449.91
NSW,2006,Manufacturing,PJ,350.965
NSW,2006,Mining,PJ,35.158
NSW,2006,Other,PJ,16.625
NSW,2006,Residential,PJ,126.848
NSW,2006,Total,PJ,1568.894
NSW,2006,Transport,PJ,471.775
NSW,2006,Water and waste,PJ,6.007
NSW,2007,Agriculture,PJ,28.885
NSW,2007,Commercial and services,PJ,76.313
NSW,2007,Construction,PJ,4.835
NSW,2007,Electricity generation,PJ,509.939
NSW,2007,Manufacturing,PJ,322.451
NSW,2007,Mining,PJ,35.274
NSW,2007,Other,PJ,16.319
NSW,2007,Residential,PJ,127.573
NSW,2007,Total,PJ,1610.708
NSW,2007,Transport,PJ,483.191
NSW,2007,Water and waste,PJ,5.929
NSW,2008,Agriculture,PJ,28.353
NSW,2008,Commercial and services,PJ,76.698
NSW,2008,Construction,PJ,7.834
NSW,2008,Electricity generation,PJ,503.95
NSW,2008,Manufacturing,PJ,308.107
NSW,2008,Mining,PJ,35.478
NSW,2008,Other,PJ,17.72
NSW,2008,Residential,PJ,130.761
NSW,2008,Total,PJ,1593.538
NSW,2008,Transport,PJ,479.187
NSW,2008,Water and waste,PJ,5.451
NSW,2009,Agriculture,PJ,28.57
NSW,2009,Commercial and services,PJ,79.238
NSW,2009,Construction,PJ,9.039
NSW,2009,Electricity generation,PJ,468.725
NSW,2009,Manufacturing,PJ,362.388
NSW,2009,Mining,PJ,41.747
NSW,2009,Other,PJ,18.116
NSW,2009,Residential,PJ,134.038
NSW,2009,Total,PJ,1645.288
NSW,2009,Transport,PJ,498.474
NSW,2009,Water and waste,PJ,4.954
NSW,2010,Agriculture,PJ,28.849
NSW,2010,Commercial and services,PJ,82.032
NSW,2010,Construction,PJ,8.708
NSW,2010,Electricity generation,PJ,438.241
NSW,2010,Manufacturing,PJ,400.898
NSW,2010,Mining,PJ,46.269
NSW,2010,Other,PJ,16.567
NSW,2010,Residential,PJ,136.988
NSW,2010,Total,PJ,1668.025
NSW,2010,Transport,PJ,504.886
NSW,2010,Water and waste,PJ,4.587
NSW,2011,Agriculture,PJ,29.391
NSW,2011,Commercial and services,PJ,80.25
NSW,2011,Construction,PJ,7.96
NSW,2011,Electricity generation,PJ,434.85
NSW,2011,Manufacturing,PJ,355.72
NSW,2011,Mining,PJ,52.835
NSW,2011,Other,PJ,13.622
NSW,2011,Residential,PJ,135.519
NSW,2011,Total,PJ,1621.305
NSW,2011,Transport,PJ,506.64
NSW,2011,Water and waste,PJ,4.517
NSW,2012,Agriculture,PJ,29.165
NSW,2012,Commercial and services,PJ,83.385
NSW,2012,Construction,PJ,8.592
NSW,2012,Electricity generation,PJ,407.13
NSW,2012,Manufacturing,PJ,309.681
NSW,2012,Mining,PJ,58.551
NSW,2012,Other,PJ,20.184
NSW,2012,Residential,PJ,135.282
NSW,2012,Total,PJ,1568.427
NSW,2012,Transport,PJ,513.165
NSW,2012,Water and waste,PJ,3.29
NSW,2013,Agriculture,PJ,27.758
NSW,2013,Commercial and services,PJ,87.255
NSW,2013,Construction,PJ,8.838
NSW,2013,Electricity generation,PJ,381.266
NSW,2013,Manufacturing,PJ,296.536
NSW,2013,Mining,PJ,59.605
NSW,2013,Other,PJ,15.765
NSW,2013,Residential,PJ,134.938
NSW,2013,Total,PJ,1526.538
NSW,2013,Transport,PJ,510.789
NSW,2013,Water and waste,PJ,3.789
NSW,2014,Agriculture,PJ,30.119
NSW,2014,Commercial and services,PJ,100.254
NSW,2014,Construction,PJ,10.344
NSW,2014,Electricity generation,PJ,375.23
NSW,2014,Manufacturing,PJ,242.23
NSW,2014,Mining,PJ,58.589
NSW,2014,Other,PJ,15.626
NSW,2014,Residential,PJ,130.247
NSW,2014,Total,PJ,1478.836
NSW,2014,Transport,PJ,512.829
NSW,2014,Water and waste,PJ,3.368
NSW,2015,Agriculture,PJ,32.27
NSW,2015,Commercial and services,PJ,98.269
NSW,2015,Construction,PJ,12.18
NSW,2015,Electricity generation,PJ,411.688
NSW,2015,Manufacturing,PJ,248.184
NSW,2015,Mining,PJ,61.736
NSW,2015,Other,PJ,14.844
NSW,2015,Residential,PJ,129.887
NSW,2015,Total,PJ,1524.256
NSW,2015,Transport,PJ,512.112
NSW,2015,Water and waste,PJ,3.085
NSW,2016,Agriculture,PJ,31.347
NSW,2016,Commercial and services,PJ,97.313
NSW,2016,Construction,PJ,13.379
NSW,2016,Electricity generation,PJ,405.649
NSW,2016,Manufacturing,PJ,247.284
NSW,2016,Mining,PJ,63.66
NSW,2016,Other,PJ,9.707
NSW,2016,Residential,PJ,133.121
NSW,2016,Total,PJ,1533.049
NSW,2016,Transport,PJ,528.519
NSW,2016,Water and waste,PJ,3.07
NSW,2017,Agriculture,PJ,31.402
NSW,2017,Commercial and services,PJ,100.994
NSW,2017,Construction,PJ,15.618
NSW,2017,Electricity generation,PJ,410.227
NSW,2017,Manufacturing,PJ,250.58
NSW,2017,Mining,PJ,65.341
NSW,2017,Other,PJ,13.318
NSW,2017,Residential,PJ,132.833
NSW,2017,Total,PJ,1564.673
NSW,2017,Transport,PJ,540.686
NSW,2017,Water and waste,PJ,3.673
NSW,2018,Agriculture,PJ,25.393
NSW,2018,Commercial and services,PJ,97.845
NSW,2018,Construction,PJ,15.911
NSW,2018,Electricity generation,PJ,410.127
NSW,2018,Manufacturing,PJ,247.518
NSW,2018,Mining,PJ,69.894
NSW,2018,Other,PJ,15.279
NSW,2018,Residential,PJ,134.021
NSW,2018,Total,PJ,1555.625
NSW,2018,Transport,PJ,535.686
NSW,2018,Water and waste,PJ,3.95
NSW,2019,Agriculture,PJ,22.309
NSW,2019,Commercial and services,PJ,95.197
NSW,2019,Construction,PJ,14.579
NSW,2019,Electricity generation,PJ,392.057
NSW,2019,Manufacturing,PJ,242.971
NSW,2019,Mining,PJ,71.506
NSW,2019,Other,PJ,14.577
NSW,2019,Residential,PJ,135.781
NSW,2019,Total,PJ,1477.818
NSW,2019,Transport,PJ,484.384
NSW,2019,Water and waste,PJ,4.459
NSW,2020,Agriculture,PJ,33.138
NSW,2020,Commercial and services,PJ,92.899
NSW,2020,Construction,PJ,13.516
NSW,2020,Electricity generation,PJ,371.993
NSW,2020,Manufacturing,PJ,240.713
NSW,2020,Mining,PJ,69.767
NSW,2020,Other,PJ,11.947
NSW,2020,Residential,PJ,138.614
NSW,2020,Total,PJ,1401.642
NSW,2020,Transport,PJ,425.586
NSW,2020,Water and waste,PJ,3.467
NSW,2021,Agriculture,PJ,32.819
NSW,2021,Commercial and services,PJ,93.403
NSW,2021,Construction,PJ,12.564
NSW,2021,Electricity generation,PJ,350.684
NSW,2021,Manufacturing,PJ,239.779
NSW,2021,Mining,PJ,69.409
NSW,2021,Other,PJ,12.621
NSW,2021,Residential,PJ,145.955
NSW,2021,Total,PJ,1374.387
NSW,2021,Transport,PJ,413.47
NSW,2021,Water and waste,PJ,3.682
NSW,2022,Agriculture,PJ,31.219
NSW,2022,Commercial and services,PJ,96.461
NSW,2022,Construction,PJ,11.7
NSW,2022,Electricity generation,PJ,346.736
NSW,2022,Manufacturing,PJ,230.794
NSW,2022,Mining,PJ,73.966
NSW,2022,Other,PJ,12.89
NSW,2022,Residential,PJ,144.177
NSW,2022,Total,PJ,1439.191
NSW,2022,Transport,PJ,486.798
NSW,2022,Water and waste,PJ,4.449
NT,1973,Agriculture,PJ,0.4
NT,1973,Commercial and services,PJ,1.2
NT,1973,Construction,PJ,0.2
NT,1973,Electricity generation,PJ,4.2
NT,1973,Manufacturing,PJ,14.3
NT,1973,Mining,PJ,0.4
NT,1973,Other,PJ,0.6
NT,1973,Residential,PJ,1.1
NT,1973,Total,PJ,30.1
NT,1973,Transport,PJ,7.6
NT,1973,Water and waste,PJ,0.1
NT,1974,Agriculture,PJ,0.6
NT,1974,Commercial and services,PJ,1.2
NT,1974,Construction,PJ,0.7
NT,1974,Electricity generation,PJ,4.3
NT,1974,Manufacturing,PJ,15.1
NT,1974,Mining,PJ,0.9
NT,1974,Other,PJ,0.6
NT,1974,Residential,PJ,1.1
NT,1974,Total,PJ,32.8
NT,1974,Transport,PJ,8.2
NT,1974,Water and waste,PJ,0.1
NT,1975,Agriculture,PJ,0.4
NT,1975,Commercial and services,PJ,1.2
NT,1975,Construction,PJ,0.3
NT,1975,Electricity generation,PJ,4.8
NT,1975,Manufacturing,PJ,15.3
NT,1975,Mining,PJ,0.8
NT,1975,Other,PJ,0.5
NT,1975,Residential,PJ,1.1
NT,1975,Total,PJ,31.2
NT,1975,Transport,PJ,6.7
NT,1975,Water and waste,PJ,0.1
NT,1976,Agriculture,PJ,0.4
NT,1976,Commercial and services,PJ,1.3
NT,1976,Construction,PJ,0.3
NT,1976,Electricity generation,PJ,5.2
NT,1976,Manufacturing,PJ,16.2
NT,1976,Mining,PJ,0.7
NT,1976,Other,PJ,0.4
NT,1976,Residential,PJ,1.1
NT,1976,Total,PJ,33.6
NT,1976,Transport,PJ,7.9
NT,1976,Water and waste,PJ,0.1
NT,1977,Agriculture,PJ,0.4
NT,1977,Commercial and services,PJ,1.4
NT,1977,Construction,PJ,0.3
NT,1977,Electricity generation,PJ,5.9
NT,1977,Manufacturing,PJ,16.6
NT,1977,Mining,PJ,0.7
NT,1977,Other,PJ,0.4
NT,1977,Residential,PJ,1.2
NT,1977,Total,PJ,35.1
NT,1977,Transport,PJ,8.1
NT,1977,Water and waste,PJ,0.1
NT,1978,Agriculture,PJ,0.7
NT,1978,Commercial and services,PJ,1.5
NT,1978,Construction,PJ,0.4
NT,1978,Electricity generation,PJ,5.7
NT,1978,Manufacturing,PJ,16
NT,1978,Mining,PJ,0.7
NT,1978,Other,PJ,0.4
NT,1978,Residential,PJ,1.3
NT,1978,Total,PJ,35.7
NT,1978,Transport,PJ,8.9
NT,1978,Water and waste,PJ,0.1
NT,1979,Agriculture,PJ,0.7
NT,1979,Commercial and services,PJ,1.7
NT,1979,Construction,PJ,0.4
NT,1979,Electricity generation,PJ,7.3
NT,1979,Manufacturing,PJ,16.3
NT,1979,Mining,PJ,1
NT,1979,Other,PJ,0.5
NT,1979,Residential,PJ,1.4
NT,1979,Total,PJ,40
NT,1979,Transport,PJ,10.5
NT,1979,Water and waste,PJ,0.2
NT,1980,Agriculture,PJ,0.8
NT,1980,Commercial and services,PJ,1.9
NT,1980,Construction,PJ,1.4
NT,1980,Electricity generation,PJ,7.1
NT,1980,Manufacturing,PJ,16.8
NT,1980,Mining,PJ,1.2
NT,1980,Other,PJ,0.7
NT,1980,Residential,PJ,1.5
NT,1980,Total,PJ,41.3
NT,1980,Transport,PJ,9.8
NT,1980,Water and waste,PJ,0.2
NT,1981,Agriculture,PJ,0.8
NT,1981,Commercial and services,PJ,2
NT,1981,Construction,PJ,0.4
NT,1981,Electricity generation,PJ,7.7
NT,1981,Manufacturing,PJ,14.3
NT,1981,Mining,PJ,1
NT,1981,Other,PJ,0.6
NT,1981,Residential,PJ,1.5
NT,1981,Total,PJ,38.6
NT,1981,Transport,PJ,10.1
NT,1981,Water and waste,PJ,0.2
NT,1982,Agriculture,PJ,0.8
NT,1982,Commercial and services,PJ,2
NT,1982,Construction,PJ,0.8
NT,1982,Electricity generation,PJ,8
NT,1982,Manufacturing,PJ,15.2
NT,1982,Mining,PJ,1
NT,1982,Other,PJ,0.6
NT,1982,Residential,PJ,1.5
NT,1982,Total,PJ,40.8
NT,1982,Transport,PJ,10.7
NT,1982,Water and waste,PJ,0.2
NT,1983,Agriculture,PJ,0.9
NT,1983,Commercial and services,PJ,2
NT,1983,Construction,PJ,0.9
NT,1983,Electricity generation,PJ,8.5
NT,1983,Manufacturing,PJ,16.4
NT,1983,Mining,PJ,1
NT,1983,Other,PJ,0.7
NT,1983,Residential,PJ,1.6
NT,1983,Total,PJ,43.8
NT,1983,Transport,PJ,11.7
NT,1983,Water and waste,PJ,0.2
NT,1984,Agriculture,PJ,0.7
NT,1984,Commercial and services,PJ,2.1
NT,1984,Construction,PJ,0.9
NT,1984,Electricity generation,PJ,9
NT,1984,Manufacturing,PJ,16.4
NT,1984,Mining,PJ,1.6
NT,1984,Other,PJ,0.8
NT,1984,Residential,PJ,1.7
NT,1984,Total,PJ,45.8
NT,1984,Transport,PJ,12.4
NT,1984,Water and waste,PJ,0.2
NT,1985,Agriculture,PJ,0.7
NT,1985,Commercial and services,PJ,2.3
NT,1985,Construction,PJ,1.3
NT,1985,Electricity generation,PJ,9.8
NT,1985,Manufacturing,PJ,15.5
NT,1985,Mining,PJ,1.5
NT,1985,Other,PJ,0.8
NT,1985,Residential,PJ,1.8
NT,1985,Total,PJ,47
NT,1985,Transport,PJ,13.2
NT,1985,Water and waste,PJ,0.2
NT,1986,Agriculture,PJ,0.7
NT,1986,Commercial and services,PJ,2.3
NT,1986,Construction,PJ,1.2
NT,1986,Electricity generation,PJ,10.5
NT,1986,Manufacturing,PJ,15.1
NT,1986,Mining,PJ,1.8
NT,1986,Other,PJ,0.8
NT,1986,Residential,PJ,1.8
NT,1986,Total,PJ,49.3
NT,1986,Transport,PJ,14.9
NT,1986,Water and waste,PJ,0.1
NT,1987,Agriculture,PJ,0.7
NT,1987,Commercial and services,PJ,2.5
NT,1987,Construction,PJ,1.1
NT,1987,Electricity generation,PJ,10.3
NT,1987,Manufacturing,PJ,17.3
NT,1987,Mining,PJ,1.9
NT,1987,Other,PJ,0.9
NT,1987,Residential,PJ,1.9
NT,1987,Total,PJ,51.1
NT,1987,Transport,PJ,14.4
NT,1987,Water and waste,PJ,0.2
NT,1988,Agriculture,PJ,0.9
NT,1988,Commercial and services,PJ,2.5
NT,1988,Construction,PJ,1.2
NT,1988,Electricity generation,PJ,10.4
NT,1988,Manufacturing,PJ,16.7
NT,1988,Mining,PJ,2.2
NT,1988,Other,PJ,0.7
NT,1988,Residential,PJ,2
NT,1988,Total,PJ,51
NT,1988,Transport,PJ,14.3
NT,1988,Water and waste,PJ,0.2
NT,1989,Agriculture,PJ,1.2
NT,1989,Commercial and services,PJ,2.7
NT,1989,Construction,PJ,0.9
NT,1989,Electricity generation,PJ,11.4
NT,1989,Manufacturing,PJ,16.3
NT,1989,Mining,PJ,2.6
NT,1989,Other,PJ,0.6
NT,1989,Residential,PJ,2
NT,1989,Total,PJ,52.5
NT,1989,Transport,PJ,14.6
NT,1989,Water and waste,PJ,0.2
NT,1990,Agriculture,PJ,1
NT,1990,Commercial and services,PJ,2.8
NT,1990,Construction,PJ,1
NT,1990,Electricity generation,PJ,11.8
NT,1990,Manufacturing,PJ,17.9
NT,1990,Mining,PJ,2.6
NT,1990,Other,PJ,0.6
NT,1990,Residential,PJ,2
NT,1990,Total,PJ,55
NT,1990,Transport,PJ,15.2
NT,1990,Water and waste,PJ,0.2
NT,1991,Agriculture,PJ,0.9
NT,1991,Commercial and services,PJ,2.8
NT,1991,Construction,PJ,1
NT,1991,Electricity generation,PJ,11.8
NT,1991,Manufacturing,PJ,18.9
NT,1991,Mining,PJ,2.3
NT,1991,Other,PJ,0.7
NT,1991,Residential,PJ,2.1
NT,1991,Total,PJ,56.9
NT,1991,Transport,PJ,16.2
NT,1991,Water and waste,PJ,0.2
NT,1992,Agriculture,PJ,0.9
NT,1992,Commercial and services,PJ,2.9
NT,1992,Construction,PJ,0.9
NT,1992,Electricity generation,PJ,11.5
NT,1992,Manufacturing,PJ,18.9
NT,1992,Mining,PJ,2.3
NT,1992,Other,PJ,0.7
NT,1992,Residential,PJ,2.2
NT,1992,Total,PJ,57.2
NT,1992,Transport,PJ,16.7
NT,1992,Water and waste,PJ,0.2
NT,1993,Agriculture,PJ,0.9
NT,1993,Commercial and services,PJ,2.9
NT,1993,Construction,PJ,0.9
NT,1993,Electricity generation,PJ,11.5
NT,1993,Manufacturing,PJ,19.2
NT,1993,Mining,PJ,2.3
NT,1993,Other,PJ,0.6
NT,1993,Residential,PJ,2.3
NT,1993,Total,PJ,58.5
NT,1993,Transport,PJ,17.7
NT,1993,Water and waste,PJ,0.2
NT,1994,Agriculture,PJ,0.9
NT,1994,Commercial and services,PJ,3.1
NT,1994,Construction,PJ,0.9
NT,1994,Electricity generation,PJ,12.4
NT,1994,Manufacturing,PJ,19.7
NT,1994,Mining,PJ,2.3
NT,1994,Other,PJ,0.8
NT,1994,Residential,PJ,2.3
NT,1994,Total,PJ,61.8
NT,1994,Transport,PJ,19.2
NT,1994,Water and waste,PJ,0.2
NT,1995,Agriculture,PJ,0.9
NT,1995,Commercial and services,PJ,3.2
NT,1995,Construction,PJ,0.8
NT,1995,Electricity generation,PJ,13.9
NT,1995,Manufacturing,PJ,19.8
NT,1995,Mining,PJ,3.2
NT,1995,Other,PJ,1
NT,1995,Residential,PJ,2.4
NT,1995,Total,PJ,67
NT,1995,Transport,PJ,21.6
NT,1995,Water and waste,PJ,0.2
NT,1996,Agriculture,PJ,1
NT,1996,Commercial and services,PJ,3.4
NT,1996,Construction,PJ,0.8
NT,1996,Electricity generation,PJ,14.4
NT,1996,Manufacturing,PJ,20.6
NT,1996,Mining,PJ,3.6
NT,1996,Other,PJ,1.4
NT,1996,Residential,PJ,2.5
NT,1996,Total,PJ,69.7
NT,1996,Transport,PJ,21.8
NT,1996,Water and waste,PJ,0.2
NT,1997,Agriculture,PJ,1.1
NT,1997,Commercial and services,PJ,3.6
NT,1997,Construction,PJ,0.8
NT,1997,Electricity generation,PJ,14.8
NT,1997,Manufacturing,PJ,20.1
NT,1997,Mining,PJ,4.3
NT,1997,Other,PJ,0.8
NT,1997,Residential,PJ,2.6
NT,1997,Total,PJ,70.4
NT,1997,Transport,PJ,22
NT,1997,Water and waste,PJ,0.2
NT,1998,Agriculture,PJ,1.3
NT,1998,Commercial and services,PJ,3.8
NT,1998,Construction,PJ,0.7
NT,1998,Electricity generation,PJ,16.5
NT,1998,Manufacturing,PJ,21.4
NT,1998,Mining,PJ,3.8
NT,1998,Other,PJ,1
NT,1998,Residential,PJ,2.4
NT,1998,Total,PJ,73.2
NT,1998,Transport,PJ,22.1
NT,1998,Water and waste,PJ,0.2
NT,1999,Agriculture,PJ,1.4
NT,1999,Commercial and services,PJ,3.8
NT,1999,Construction,PJ,0.7
NT,1999,Electricity generation,PJ,18.1
NT,1999,Manufacturing,PJ,22.2
NT,1999,Mining,PJ,3.9
NT,1999,Other,PJ,1
NT,1999,Residential,PJ,2.7
NT,1999,Total,PJ,76.4
NT,1999,Transport,PJ,22.4
NT,1999,Water and waste,PJ,0.2
NT,2000,Agriculture,PJ,1.4
NT,2000,Commercial and services,PJ,5.3
NT,2000,Construction,PJ,0.7
NT,2000,Electricity generation,PJ,15.6
NT,2000,Manufacturing,PJ,21.8
NT,2000,Mining,PJ,3
NT,2000,Other,PJ,0.9
NT,2000,Residential,PJ,2.3
NT,2000,Total,PJ,73.2
