Jurisdiction,Year,Industry,Unit,Quantity
AUS,1985,Residential,PJ,288.4
AUS,1985,Total,PJ,3402.5
AUS,1985,Transport,PJ,906.3
AUS,1985,Water and waste,PJ,5.5
AUS,1986,Agriculture,PJ,56.4
AUS,1986,Commercial and services,PJ,122.9
AUS,1986,Construction,PJ,34.9
AUS,1986,Electricity generation,PJ,939.5
AUS,1986,Manufacturing,PJ,966
AUS,1986,Mining,PJ,105
AUS,1986,Other,PJ,64.6
AUS,1986,Residential,PJ,298.1
AUS,1986,Total,PJ,3514.4
AUS,1986,Transport,PJ,922.1
AUS,1986,Water and waste,PJ,4.9
AUS,1987,Agriculture,PJ,55.4
AUS,1987,Commercial and services,PJ,129.4
AUS,1987,Construction,PJ,39.4
AUS,1987,Electricity generation,PJ,962.5
AUS,1987,Manufacturing,PJ,988.3
AUS,1987,Mining,PJ,116.7
AUS,1987,Other,PJ,63.9
AUS,1987,Residential,PJ,296.2
AUS,1987,Total,PJ,3623
AUS,1987,Transport,PJ,966
AUS,1987,Water and waste,PJ,5.2
AUS,1988,Agriculture,PJ,58.5
AUS,1988,Commercial and services,PJ,136.7
AUS,1988,Construction,PJ,41.5
AUS,1988,Electricity generation,PJ,1047.6
AUS,1988,Manufacturing,PJ,1041
AUS,1988,Mining,PJ,129.3
AUS,1988,Other,PJ,66.4
AUS,1988,Residential,PJ,301.5
AUS,1988,Total,PJ,3832.7
AUS,1988,Transport,PJ,1004.9
AUS,1988,Water and waste,PJ,5.4
AUS,1989,Agriculture,PJ,55.1
AUS,1989,Commercial and services,PJ,145.5
AUS,1989,Construction,PJ,41
AUS,1989,Electricity generation,PJ,1066
AUS,1989,Manufacturing,PJ,1067.4
AUS,1989,Mining,PJ,159.9
AUS,1989,Other,PJ,70.8
AUS,1989,Residential,PJ,322.3
AUS,1989,Total,PJ,3945.9
AUS,1989,Transport,PJ,1012.4
AUS,1989,Water and waste,PJ,5.4
AUS,1990,Agriculture,PJ,55.8
AUS,1990,Commercial and services,PJ,151.1
AUS,1990,Construction,PJ,37.2
AUS,1990,Electricity generation,PJ,1065
AUS,1990,Manufacturing,PJ,1073.9
AUS,1990,Mining,PJ,164.6
AUS,1990,Other,PJ,65.8
AUS,1990,Residential,PJ,327.8
AUS,1990,Total,PJ,3949.9
AUS,1990,Transport,PJ,1003
AUS,1990,Water and waste,PJ,5.7
AUS,1991,Agriculture,PJ,57
AUS,1991,Commercial and services,PJ,154.2
AUS,1991,Construction,PJ,35.9
AUS,1991,Electricity generation,PJ,1092.9
AUS,1991,Manufacturing,PJ,1033.9
AUS,1991,Mining,PJ,176.2
AUS,1991,Other,PJ,68
AUS,1991,Residential,PJ,334.6
AUS,1991,Total,PJ,3982.7
AUS,1991,Transport,PJ,1024.3
AUS,1991,Water and waste,PJ,5.7
AUS,1992,Agriculture,PJ,59.1
AUS,1992,Commercial and services,PJ,158.8
AUS,1992,Construction,PJ,34.6
AUS,1992,Electricity generation,PJ,1096.4
AUS,1992,Manufacturing,PJ,1066.6
AUS,1992,Mining,PJ,189.3
AUS,1992,Other,PJ,74.8
