LGA_CODE_2016,LGA_NAME_2016,EnergyType,Capacity
52170,Cottesloe (T),Residential Capacity (MW),0
12350,Cowra (A),Residential Capacity (MW),79538
32600,Croydon (S),Residential Capacity (MW),1555
52310,Cuballing (S),Residential Capacity (MW),21942
52380,Cue (S),Residential Capacity (MW),3455
12380,Cumberland (A),Residential Capacity (MW),29
52450,Cunderdin (S),Residential Capacity (MW),22563
52520,Dalwallinu (S),Residential Capacity (MW),28853
52590,Dandaragan (S),Residential Capacity (MW),38794
52660,Dardanup (S),Residential Capacity (MW),40380
21890,Darebin (C),Residential Capacity (MW),0
71000,Darwin (C),Residential Capacity (MW),1345
52730,Denmark (S),Residential Capacity (MW),45027
52800,Derby-West Kimberley (S),Residential Capacity (MW),2880
61510,Derwent Valley (M),Residential Capacity (MW),37150
61610,Devonport (C),Residential Capacity (MW),46981
32750,Diamantina (S),Residential Capacity (MW),2723
52870,Donnybrook-Balingup (S),Residential Capacity (MW),49903
32770,Doomadgee (S),Residential Capacity (MW),2363
61810,Dorset (M),Residential Capacity (MW),49765
32810,Douglas (S),Residential Capacity (MW),4922
52940,Dowerin (S),Residential Capacity (MW),19420
53010,Dumbleyung (S),Residential Capacity (MW),17530
53080,Dundas (S),Residential Capacity (MW),11615
12700,Dungog (A),Residential Capacity (MW),75407
71300,East Arnhem (R),Residential Capacity (MW),7856
53150,East Fremantle (T),Residential Capacity (MW),0
22110,East Gippsland (S),Residential Capacity (MW),168006
53220,East Pilbara (S),Residential Capacity (MW),88710
12730,Edward River (A),Residential Capacity (MW),70763
41750,Elliston (DC),Residential Capacity (MW),18618
53290,Esperance (S),Residential Capacity (MW),104605
33100,Etheridge (S),Residential Capacity (MW),4162
12750,Eurobodalla (A),Residential Capacity (MW),79876
53360,Exmouth (S),Residential Capacity (MW),1501
12850,Fairfield (C),Residential Capacity (MW),48692
12870,Federation (A),Residential Capacity (MW),94831
62010,Flinders (M) (Tas.),Residential Capacity (MW),0
33200,Flinders (S) (Qld),Residential Capacity (MW),22839
41830,Flinders Ranges (DC),Residential Capacity (MW),13636
12900,Forbes (A),Residential Capacity (MW),87414
41960,Franklin Harbour (DC),Residential Capacity (MW),14717
22170,Frankston (C),Residential Capacity (MW),29567
33220,Fraser Coast (R),Residential Capacity (MW),115664
53430,Fremantle (C),Residential Capacity (MW),0
22250,Gannawarra (S),Residential Capacity (MW),110787
42030,Gawler (T),Residential Capacity (MW),25777
62210,George Town (M),Residential Capacity (MW),20178
12930,Georges River (A),Residential Capacity (MW),34403
12950,Gilgandra (A),Residential Capacity (MW),48250
53570,Gingin (S),Residential Capacity (MW),96409
33360,Gladstone (R),Residential Capacity (MW),142863
62410,Glamorgan/Spring Bay (M),Residential Capacity (MW),20495
13010,Glen Innes Severn (A),Residential Capacity (MW),71146
22410,Glenelg (S),Residential Capacity (MW),124283
62610,Glenorchy (C),Residential Capacity (MW),7380
53640,Gnowangerup (S),Residential Capacity (MW),32500
33430,Gold Coast (C),Residential Capacity (MW),164459
22490,Golden Plains (S),Residential Capacity (MW),143723
53710,Goomalling (S),Residential Capacity (MW),10791
33610,Goondiwindi (R),Residential Capacity (MW),100332
53780,Gosnells (C),Residential Capacity (MW),39669
13310,Goulburn Mulwaree (A),Residential Capacity (MW),121969
42110,Goyder (DC),Residential Capacity (MW),95139
42250,Grant (DC),Residential Capacity (MW),76656
22620,Greater Bendigo (C),Residential Capacity (MW),190260
22670,Greater Dandenong (C),Residential Capacity (MW),22811
22750,Greater Geelong (C),Residential Capacity (MW),141160
53800,Greater Geraldton (C),Residential Capacity (MW),96496
13340,Greater Hume Shire (A),Residential Capacity (MW),136788
22830,Greater Shepparton (C),Residential Capacity (MW),254460
13450,Griffith (C),Residential Capacity (MW),141007
13510,Gundagai (A),Residential Capacity (MW),86195
13550,Gunnedah (A),Residential Capacity (MW),90032
13660,Gwydir (A),Residential Capacity (MW),74699
33620,Gympie (R),Residential Capacity (MW),213303
53920,Halls Creek (S),Residential Capacity (MW),1512
53990,Harvey (S),Residential Capacity (MW),75550
13800,Hawkesbury (C),Residential Capacity (MW),359021
13850,Hay (A),Residential Capacity (MW),38544
22910,Hepburn (S),Residential Capacity (MW),94918
13910,Hilltops (A),Residential Capacity (MW),190259
33800,Hinchinbrook (S),Residential Capacity (MW),73744
22980,Hindmarsh (S),Residential Capacity (MW),96978
62810,Hobart (C),Residential Capacity (MW),637
23110,Hobsons Bay (C),Residential Capacity (MW),0
42600,Holdfast Bay (C),Residential Capacity (MW),0
33830,Hope Vale (S),Residential Capacity (MW),2325
14000,Hornsby (A),Residential Capacity (MW),94390
23190,Horsham (RC),Residential Capacity (MW),117565
23270,Hume (C),Residential Capacity (MW),57441
63010,Huon Valley (M),Residential Capacity (MW),90000
23350,Indigo (S),Residential Capacity (MW),91414
14170,Inner West (A),Residential Capacity (MW),0
14200,Inverell (A),Residential Capacity (MW),97049
33960,Ipswich (C),Residential Capacity (MW),105257
54060,Irwin (S),Residential Capacity (MW),18069
33980,Isaac (R),Residential Capacity (MW),146189
54130,Jerramungup (S),Residential Capacity (MW),33563
54170,Joondalup (C),Residential Capacity (MW),418
14300,Junee (A),Residential Capacity (MW),22911
54200,Kalamunda (S),Residential Capacity (MW),56627
54280,Kalgoorlie/Boulder (C),Residential Capacity (MW),8773
42750,Kangaroo Island (DC),Residential Capacity (MW),42373
43080,Karoonda East Murray (DC),Residential Capacity (MW),29295
54310,Karratha (C),Residential Capacity (MW),23321
54340,Katanning (S),Residential Capacity (MW),26484
72200,Katherine (T),Residential Capacity (MW),15000
54410,Kellerberrin (S),Residential Capacity (MW),17116
14350,Kempsey (A),Residential Capacity (MW),118148
54480,Kent (S),Residential Capacity (MW),0
63210,Kentish (M),Residential Capacity (MW),42514
