LGA_CODE_2016,LGA_NAME_2016,EnergyType,Capacity
59370,York (S),Residential Capacity (MW),"42,725"
48830,Yorke Peninsula (DC),Residential Capacity (MW),"128,461"
40070,Adelaide (C),Rural / Primacy Production Capacity (MW),0
40120,Adelaide Hills (DC),Rural / Primacy Production Capacity (MW),0
50080,Albany (C),Rural / Primacy Production Capacity (MW),4456
10050,Albury (C),Rural / Primacy Production Capacity (MW),79
40220,Alexandrina (DC),Rural / Primacy Production Capacity (MW),0
70200,Alice Springs (T),Rural / Primacy Production Capacity (MW),2123
20110,Alpine (S),Rural / Primacy Production Capacity (MW),3608
40250,Anangu Pitjantjatjara (AC),Rural / Primacy Production Capacity (MW),0
20260,Ararat (RC),Rural / Primacy Production Capacity (MW),103
50210,Armadale (C),Rural / Primacy Production Capacity (MW),148523
10130,Armidale Regional (A),Rural / Primacy Production Capacity (MW),0
50250,Ashburton (S),Rural / Primacy Production Capacity (MW),2391
50280,Augusta-Margaret River (S),Rural / Primacy Production Capacity (MW),6294
30250,Aurukun (S),Rural / Primacy Production Capacity (MW),16
20570,Ballarat (C),Rural / Primacy Production Capacity (MW),37014
10250,Ballina (A),Rural / Primacy Production Capacity (MW),0
30300,Balonne (S),Rural / Primacy Production Capacity (MW),0
10300,Balranald (A),Rural / Primacy Production Capacity (MW),0
30370,Banana (S),Rural / Primacy Production Capacity (MW),6746
20660,Banyule (C),Rural / Primacy Production Capacity (MW),23846
30410,Barcaldine (R),Rural / Primacy Production Capacity (MW),0
30450,Barcoo (S),Rural / Primacy Production Capacity (MW),0
70420,Barkly (R),Rural / Primacy Production Capacity (MW),163
40310,Barossa (DC),Rural / Primacy Production Capacity (MW),0
40430,Barunga West (DC),Rural / Primacy Production Capacity (MW),0
20740,Bass Coast (S),Rural / Primacy Production Capacity (MW),1069
50350,Bassendean (T),Rural / Primacy Production Capacity (MW),0
10470,Bathurst Regional (A),Rural / Primacy Production Capacity (MW),0
20830,Baw Baw (S),Rural / Primacy Production Capacity (MW),12974
20910,Bayside (C),Rural / Primacy Production Capacity (MW),1894
50420,Bayswater (C),Rural / Primacy Production Capacity (MW),2952
10550,Bega Valley (A),Rural / Primacy Production Capacity (MW),0
10600,Bellingen (A),Rural / Primacy Production Capacity (MW),0
50490,Belmont (C),Rural / Primacy Production Capacity (MW),11104
70540,Belyuen (S),Rural / Primacy Production Capacity (MW),20
40520,Berri and Barmera (DC),Rural / Primacy Production Capacity (MW),0
10650,Berrigan (A),Rural / Primacy Production Capacity (MW),1
50560,Beverley (S),Rural / Primacy Production Capacity (MW),3
30760,Blackall-Tambo (R),Rural / Primacy Production Capacity (MW),0
10750,Blacktown (C),Rural / Primacy Production Capacity (MW),80
10800,Bland (A),Rural / Primacy Production Capacity (MW),0
10850,Blayney (A),Rural / Primacy Production Capacity (MW),0
10900,Blue Mountains (C),Rural / Primacy Production Capacity (MW),54
50630,Boddington (S),Rural / Primacy Production Capacity (MW),170
10950,Bogan (A),Rural / Primacy Production Capacity (MW),0
21110,Boroondara (C),Rural / Primacy Production Capacity (MW),3887
11100,Botany Bay (C),Rural / Primacy Production Capacity (MW),4244
30900,Boulia (S),Rural / Primacy Production Capacity (MW),0
11150,Bourke (A),Rural / Primacy Production Capacity (MW),0
50770,Boyup Brook (S),Rural / Primacy Production Capacity (MW),1601
60210,Break O'Day (M),Rural / Primacy Production Capacity (MW),358
11200,Brewarrina (A),Rural / Primacy Production Capacity (MW),0
60410,Brighton (M),Rural / Primacy Production Capacity (MW),1778
21180,Brimbank (C),Rural / Primacy Production Capacity (MW),52423
31000,Brisbane (C),Rural / Primacy Production Capacity (MW),65900
11250,Broken Hill (C),Rural / Primacy Production Capacity (MW),0
50910,Brookton (S),Rural / Primacy Production Capacity (MW),0
50980,Broome (S),Rural / Primacy Production Capacity (MW),6730
51080,Broomehill-Tambellup (S),Rural / Primacy Production Capacity (MW),237
51120,Bruce Rock (S),Rural / Primacy Production Capacity (MW),1096
31750,Bulloo (S),Rural / Primacy Production Capacity (MW),0
21270,Buloke (S),Rural / Primacy Production Capacity (MW),38
51190,Bunbury (C),Rural / Primacy Production Capacity (MW),76769
31820,Bundaberg (R),Rural / Primacy Production Capacity (MW),1950
31900,Burdekin (S),Rural / Primacy Production Capacity (MW),0
31950,Burke (S),Rural / Primacy Production Capacity (MW),0
60610,Burnie (C),Rural / Primacy Production Capacity (MW),0
40700,Burnside (C),Rural / Primacy Production Capacity (MW),0
11300,Burwood (A),Rural / Primacy Production Capacity (MW),0
51260,Busselton (C),Rural / Primacy Production Capacity (MW),18786
11350,Byron (A),Rural / Primacy Production Capacity (MW),0
11400,Cabonne (A),Rural / Primacy Production Capacity (MW),3
32080,Cairns (R),Rural / Primacy Production Capacity (MW),25
51310,Cambridge (T),Rural / Primacy Production Capacity (MW),1257
11450,Camden (A),Rural / Primacy Production Capacity (MW),0
21370,Campaspe (S),Rural / Primacy Production Capacity (MW),1539
11500,Campbelltown (C) (NSW),Rural / Primacy Production Capacity (MW),0
40910,Campbelltown (C) (SA),Rural / Primacy Production Capacity (MW),0
11520,Canada Bay (A),Rural / Primacy Production Capacity (MW),0
51330,Canning (C),Rural / Primacy Production Capacity (MW),29030
11570,Canterbury-Bankstown (A),Rural / Primacy Production Capacity (MW),0
51400,Capel (S),Rural / Primacy Production Capacity (MW),28410
21450,Cardinia (S),Rural / Primacy Production Capacity (MW),188004
51470,Carnamah (S),Rural / Primacy Production Capacity (MW),469
51540,Carnarvon (S),Rural / Primacy Production Capacity (MW),1773
32250,Carpentaria (S),Rural / Primacy Production Capacity (MW),0
11600,Carrathool (A),Rural / Primacy Production Capacity (MW),0
21610,Casey (C),Rural / Primacy Production Capacity (MW),234157
32260,Cassowary Coast (R),Rural / Primacy Production Capacity (MW),36
41010,Ceduna (DC),Rural / Primacy Production Capacity (MW),0
11650,Central Coast (C) (NSW),Rural / Primacy Production Capacity (MW),0
60810,Central Coast (M) (Tas.),Rural / Primacy Production Capacity (MW),0
11700,Central Darling (A),Rural / Primacy Production Capacity (MW),0
70620,Central Desert (R),Rural / Primacy Production Capacity (MW),117
21670,Central Goldfields (S),Rural / Primacy Production Capacity (MW),132
61010,Central Highlands (M) (Tas.),Rural / Primacy Production Capacity (MW),466
32270,Central Highlands (R) (Qld),Rural / Primacy Production Capacity (MW),902
11720,Cessnock (C),Rural / Primacy Production Capacity (MW),0
41060,Charles Sturt (C),Rural / Primacy Production Capacity (MW),0
32310,Charters Towers (R),Rural / Primacy Production Capacity (MW),0
32330,Cherbourg (S),Rural / Primacy Production Capacity (MW),0
51680,Chittering (S),Rural / Primacy Production Capacity (MW),17272
61210,Circular Head (M),Rural / Primacy Production Capacity (MW),0
41140,Clare and Gilbert Valleys (DC),Rural / Primacy Production Capacity (MW),0
51750,Claremont (T),Rural / Primacy Production Capacity (MW),3513
61410,Clarence (C),Rural / Primacy Production Capacity (MW),3239
11730,Clarence Valley (A),Rural / Primacy Production Capacity (MW),0
41190,Cleve (DC),Rural / Primacy Production Capacity (MW),0
32450,Cloncurry (S),Rural / Primacy Production Capacity (MW),0
11750,Cobar (A),Rural / Primacy Production Capacity (MW),0
51820,Cockburn (C),Rural / Primacy Production Capacity (MW),338507
11800,Coffs Harbour (C),Rural / Primacy Production Capacity (MW),0
21750,Colac-Otway (S),Rural / Primacy Production Capacity (MW),61
51890,Collie (S),Rural / Primacy Production Capacity (MW),4491
41330,Coober Pedy (DC),Rural / Primacy Production Capacity (MW),0
32500,Cook (S),Rural / Primacy Production Capacity (MW),11
12000,Coolamon (A),Rural / Primacy Production Capacity (MW),0
51960,Coolgardie (S),Rural / Primacy Production Capacity (MW),759
70700,Coomalie (S),Rural / Primacy Production Capacity (MW),47
12150,Coonamble (A),Rural / Primacy Production Capacity (MW),0
52030,Coorow (S),Rural / Primacy Production Capacity (MW),326
41560,Copper Coast (DC),Rural / Primacy Production Capacity (MW),0
21830,Corangamite (S),Rural / Primacy Production Capacity (MW),2106
52100,Corrigin (S),Rural / Primacy Production Capacity (MW),0
52170,Cottesloe (T),Rural / Primacy Production Capacity (MW),1313
12350,Cowra (A),Rural / Primacy Production Capacity (MW),0
32600,Croydon (S),Rural / Primacy Production Capacity (MW),4
52310,Cuballing (S),Rural / Primacy Production Capacity (MW),20
52380,Cue (S),Rural / Primacy Production Capacity (MW),159
12380,Cumberland (A),Rural / Primacy Production Capacity (MW),0
52450,Cunderdin (S),Rural / Primacy Production Capacity (MW),80
52520,Dalwallinu (S),Rural / Primacy Production Capacity (MW),2230
52590,Dandaragan (S),Rural / Primacy Production Capacity (MW),6623
52660,Dardanup (S),Rural / Primacy Production Capacity (MW),17360
21890,Darebin (C),Rural / Primacy Production Capacity (MW),7184
71000,Darwin (C),Rural / Primacy Production Capacity (MW),50355
52730,Denmark (S),Rural / Primacy Production Capacity (MW),0
52800,Derby-West Kimberley (S),Rural / Primacy Production Capacity (MW),568
61510,Derwent Valley (M),Rural / Primacy Production Capacity (MW),2514
61610,Devonport (C),Rural / Primacy Production Capacity (MW),0
32750,Diamantina (S),Rural / Primacy Production Capacity (MW),0
52870,Donnybrook-Balingup (S),Rural / Primacy Production Capacity (MW),786
32770,Doomadgee (S),Rural / Primacy Production Capacity (MW),0
61810,Dorset (M),Rural / Primacy Production Capacity (MW),3032
32810,Douglas (S),Rural / Primacy Production Capacity (MW),2
52940,Dowerin (S),Rural / Primacy Production Capacity (MW),389
53010,Dumbleyung (S),Rural / Primacy Production Capacity (MW),415
53080,Dundas (S),Rural / Primacy Production Capacity (MW),115
12700,Dungog (A),Rural / Primacy Production Capacity (MW),0
71300,East Arnhem (R),Rural / Primacy Production Capacity (MW),780
53150,East Fremantle (T),Rural / Primacy Production Capacity (MW),0
22110,East Gippsland (S),Rural / Primacy Production Capacity (MW),1589
53220,East Pilbara (S),Rural / Primacy Production Capacity (MW),4609
12730,Edward River (A),Rural / Primacy Production Capacity (MW),0
41750,Elliston (DC),Rural / Primacy Production Capacity (MW),0
53290,Esperance (S),Rural / Primacy Production Capacity (MW),8422
33100,Etheridge (S),Rural / Primacy Production Capacity (MW),11
12750,Eurobodalla (A),Rural / Primacy Production Capacity (MW),0
53360,Exmouth (S),Rural / Primacy Production Capacity (MW),4777
12850,Fairfield (C),Rural / Primacy Production Capacity (MW),0
12870,Federation (A),Rural / Primacy Production Capacity (MW),0
62010,Flinders (M) (Tas.),Rural / Primacy Production Capacity (MW),0
33200,Flinders (S) (Qld),Rural / Primacy Production Capacity (MW),0
41830,Flinders Ranges (DC),Rural / Primacy Production Capacity (MW),0
12900,Forbes (A),Rural / Primacy Production Capacity (MW),3
41960,Franklin Harbour (DC),Rural / Primacy Production Capacity (MW),0
22170,Frankston (C),Rural / Primacy Production Capacity (MW),30085
33220,Fraser Coast (R),Rural / Primacy Production Capacity (MW),10225
53430,Fremantle (C),Rural / Primacy Production Capacity (MW),13608
22250,Gannawarra (S),Rural / Primacy Production Capacity (MW),439
42030,Gawler (T),Rural / Primacy Production Capacity (MW),0
62210,George Town (M),Rural / Primacy Production Capacity (MW),0
12930,Georges River (A),Rural / Primacy Production Capacity (MW),0
12950,Gilgandra (A),Rural / Primacy Production Capacity (MW),0
53570,Gingin (S),Rural / Primacy Production Capacity (MW),603
33360,Gladstone (R),Rural / Primacy Production Capacity (MW),15922
62410,Glamorgan/Spring Bay (M),Rural / Primacy Production Capacity (MW),3550
13010,Glen Innes Severn (A),Rural / Primacy Production Capacity (MW),0
22410,Glenelg (S),Rural / Primacy Production Capacity (MW),461
62610,Glenorchy (C),Rural / Primacy Production Capacity (MW),1791
53640,Gnowangerup (S),Rural / Primacy Production Capacity (MW),1893
33430,Gold Coast (C),Rural / Primacy Production Capacity (MW),206629
22490,Golden Plains (S),Rural / Primacy Production Capacity (MW),2487
53710,Goomalling (S),Rural / Primacy Production Capacity (MW),152
33610,Goondiwindi (R),Rural / Primacy Production Capacity (MW),2
53780,Gosnells (C),Rural / Primacy Production Capacity (MW),14171
13310,Goulburn Mulwaree (A),Rural / Primacy Production Capacity (MW),0
42110,Goyder (DC),Rural / Primacy Production Capacity (MW),0
42250,Grant (DC),Rural / Primacy Production Capacity (MW),0
22620,Greater Bendigo (C),Rural / Primacy Production Capacity (MW),8040
22670,Greater Dandenong (C),Rural / Primacy Production Capacity (MW),29875
22750,Greater Geelong (C),Rural / Primacy Production Capacity (MW),105714
53800,Greater Geraldton (C),Rural / Primacy Production Capacity (MW),15513
13340,Greater Hume Shire (A),Rural / Primacy Production Capacity (MW),0
22830,Greater Shepparton (C),Rural / Primacy Production Capacity (MW),37968
13450,Griffith (C),Rural / Primacy Production Capacity (MW),0
13510,Gundagai (A),Rural / Primacy Production Capacity (MW),0
13550,Gunnedah (A),Rural / Primacy Production Capacity (MW),0
13660,Gwydir (A),Rural / Primacy Production Capacity (MW),0
33620,Gympie (R),Rural / Primacy Production Capacity (MW),89
53920,Halls Creek (S),Rural / Primacy Production Capacity (MW),17
53990,Harvey (S),Rural / Primacy Production Capacity (MW),2988
13800,Hawkesbury (C),Rural / Primacy Production Capacity (MW),0
13850,Hay (A),Rural / Primacy Production Capacity (MW),0
22910,Hepburn (S),Rural / Primacy Production Capacity (MW),987
13910,Hilltops (A),Rural / Primacy Production Capacity (MW),0
33800,Hinchinbrook (S),Rural / Primacy Production Capacity (MW),0
22980,Hindmarsh (S),Rural / Primacy Production Capacity (MW),1
62810,Hobart (C),Rural / Primacy Production Capacity (MW),10676
23110,Hobsons Bay (C),Rural / Primacy Production Capacity (MW),116362
42600,Holdfast Bay (C),Rural / Primacy Production Capacity (MW),0
33830,Hope Vale (S),Rural / Primacy Production Capacity (MW),0
14000,Hornsby (A),Rural / Primacy Production Capacity (MW),0
23190,Horsham (RC),Rural / Primacy Production Capacity (MW),1414
23270,Hume (C),Rural / Primacy Production Capacity (MW),431352
63010,Huon Valley (M),Rural / Primacy Production Capacity (MW),1965
23350,Indigo (S),Rural / Primacy Production Capacity (MW),6782
14170,Inner West (A),Rural / Primacy Production Capacity (MW),0
14200,Inverell (A),Rural / Primacy Production Capacity (MW),0
33960,Ipswich (C),Rural / Primacy Production Capacity (MW),75020
54060,Irwin (S),Rural / Primacy Production Capacity (MW),2806
33980,Isaac (R),Rural / Primacy Production Capacity (MW),277
54130,Jerramungup (S),Rural / Primacy Production Capacity (MW),2091
54170,Joondalup (C),Rural / Primacy Production Capacity (MW),62987
14300,Junee (A),Rural / Primacy Production Capacity (MW),0
54200,Kalamunda (S),Rural / Primacy Production Capacity (MW),71580
54280,Kalgoorlie/Boulder (C),Rural / Primacy Production Capacity (MW),669
42750,Kangaroo Island (DC),Rural / Primacy Production Capacity (MW),0
43080,Karoonda East Murray (DC),Rural / Primacy Production Capacity (MW),0
54310,Karratha (C),Rural / Primacy Production Capacity (MW),61833
54340,Katanning (S),Rural / Primacy Production Capacity (MW),2909
72200,Katherine (T),Rural / Primacy Production Capacity (MW),789
54410,Kellerberrin (S),Rural / Primacy Production Capacity (MW),288
14350,Kempsey (A),Rural / Primacy Production Capacity (MW),0
54480,Kent (S),Rural / Primacy Production Capacity (MW),67
63210,Kentish (M),Rural / Primacy Production Capacity (MW),0
14400,Kiama (A),Rural / Primacy Production Capacity (MW),0
43220,Kimba (DC),Rural / Primacy Production Capacity (MW),0
63410,King Island (M),Rural / Primacy Production Capacity (MW),0
63610,Kingborough (M),Rural / Primacy Production Capacity (MW),49
23430,Kingston (C) (Vic.),Rural / Primacy Production Capacity (MW),46283
43360,Kingston (DC) (SA),Rural / Primacy Production Capacity (MW),0
23670,Knox (C),Rural / Primacy Production Capacity (MW),10568
54550,Kojonup (S),Rural / Primacy Production Capacity (MW),129
54620,Kondinin (S),Rural / Primacy Production Capacity (MW),67
54690,Koorda (S),Rural / Primacy Production Capacity (MW),0
34420,Kowanyama (S),Rural / Primacy Production Capacity (MW),13
54760,Kulin (S),Rural / Primacy Production Capacity (MW),796
14500,Ku-ring-gai (A),Rural / Primacy Production Capacity (MW),0
54830,Kwinana (C),Rural / Primacy Production Capacity (MW),39178
14550,Kyogle (A),Rural / Primacy Production Capacity (MW),0
14600,Lachlan (A),Rural / Primacy Production Capacity (MW),0
54900,Lake Grace (S),Rural / Primacy Production Capacity (MW),659
14650,Lake Macquarie (C),Rural / Primacy Production Capacity (MW),0
14700,Lane Cove (A),Rural / Primacy Production Capacity (MW),0
23810,Latrobe (C) (Vic.),Rural / Primacy Production Capacity (MW),7402
63810,Latrobe (M) (Tas.),Rural / Primacy Production Capacity (MW),0
64010,Launceston (C),Rural / Primacy Production Capacity (MW),13803
54970,Laverton (S),Rural / Primacy Production Capacity (MW),724
14750,Leeton (A),Rural / Primacy Production Capacity (MW),0
55040,Leonora (S),Rural / Primacy Production Capacity (MW),58
43650,Light (RegC),Rural / Primacy Production Capacity (MW),0
14850,Lismore (C),Rural / Primacy Production Capacity (MW),0
72300,Litchfield (M),Rural / Primacy Production Capacity (MW),2240
14870,Lithgow (C),Rural / Primacy Production Capacity (MW),0
14900,Liverpool (C),Rural / Primacy Production Capacity (MW),1137
14920,Liverpool Plains (A),Rural / Primacy Production Capacity (MW),0
34530,Livingstone (S),Rural / Primacy Production Capacity (MW),15580
14950,Lockhart (A),Rural / Primacy Production Capacity (MW),0
34570,Lockhart River (S),Rural / Primacy Production Capacity (MW),6
34580,Lockyer Valley (R),Rural / Primacy Production Capacity (MW),2897
23940,Loddon (S),Rural / Primacy Production Capacity (MW),80
34590,Logan (C),Rural / Primacy Production Capacity (MW),1902
34710,Longreach (R),Rural / Primacy Production Capacity (MW),0
43710,Lower Eyre Peninsula (DC),Rural / Primacy Production Capacity (MW),0
43790,Loxton Waikerie (DC),Rural / Primacy Production Capacity (MW),0
72330,MacDonnell (R),Rural / Primacy Production Capacity (MW),0
24130,Macedon Ranges (S),Rural / Primacy Production Capacity (MW),2234
34770,Mackay (R),Rural / Primacy Production Capacity (MW),25289
15050,Maitland (C),Rural / Primacy Production Capacity (MW),0
43920,Mallala (DC),Rural / Primacy Production Capacity (MW),0
55110,Mandurah (C),Rural / Primacy Production Capacity (MW),308080
55180,Manjimup (S),Rural / Primacy Production Capacity (MW),9147
24210,Manningham (C),Rural / Primacy Production Capacity (MW),19199
24250,Mansfield (S),Rural / Primacy Production Capacity (MW),5715
34830,Mapoon (S),Rural / Primacy Production Capacity (MW),0
44000,Maralinga Tjarutja (AC),Rural / Primacy Production Capacity (MW),0
34860,Maranoa (R),Rural / Primacy Production Capacity (MW),6265
34880,Mareeba (S),Rural / Primacy Production Capacity (MW),3238
24330,Maribyrnong (C),Rural / Primacy Production Capacity (MW),42427
44060,Marion (C),Rural / Primacy Production Capacity (MW),0
24410,Maroondah (C),Rural / Primacy Production Capacity (MW),272
34800,McKinlay (S),Rural / Primacy Production Capacity (MW),0
64210,Meander Valley (M),Rural / Primacy Production Capacity (MW),532
55250,Meekatharra (S),Rural / Primacy Production Capacity (MW),0
24600,Melbourne (C),Rural / Primacy Production Capacity (MW),174268
24650,Melton (C),Rural / Primacy Production Capacity (MW),43977
55320,Melville (C),Rural / Primacy Production Capacity (MW),7479
55390,Menzies (S),Rural / Primacy Production Capacity (MW),341
55460,Merredin (S),Rural / Primacy Production Capacity (MW),836
44210,Mid Murray (DC),Rural / Primacy Production Capacity (MW),0
15240,Mid-Coast (A),Rural / Primacy Production Capacity (MW),0
15270,Mid-Western Regional (A),Rural / Primacy Production Capacity (MW),0
24780,Mildura (RC),Rural / Primacy Production Capacity (MW),11724
55530,Mingenew (S),Rural / Primacy Production Capacity (MW),30
44340,Mitcham (C),Rural / Primacy Production Capacity (MW),0
24850,Mitchell (S),Rural / Primacy Production Capacity (MW),24103
24900,Moira (S),Rural / Primacy Production Capacity (MW),10
24970,Monash (C),Rural / Primacy Production Capacity (MW),135765
25060,Moonee Valley (C),Rural / Primacy Production Capacity (MW),48700
55600,Moora (S),Rural / Primacy Production Capacity (MW),15
25150,Moorabool (S),Rural / Primacy Production Capacity (MW),2387
55670,Morawa (S),Rural / Primacy Production Capacity (MW),446
15300,Moree Plains (A),Rural / Primacy Production Capacity (MW),0
25250,Moreland (C),Rural / Primacy Production Capacity (MW),15935
35010,Moreton Bay (R),Rural / Primacy Production Capacity (MW),884
35250,Mornington (S),Rural / Primacy Production Capacity (MW),14
25340,Mornington Peninsula (S),Rural / Primacy Production Capacity (MW),49744
15350,Mosman (A),Rural / Primacy Production Capacity (MW),0
55740,Mosman Park (T),Rural / Primacy Production Capacity (MW),3074
25430,Mount Alexander (S),Rural / Primacy Production Capacity (MW),2
44550,Mount Barker (DC),Rural / Primacy Production Capacity (MW),0
44620,Mount Gambier (C),Rural / Primacy Production Capacity (MW),0
35300,Mount Isa (C),Rural / Primacy Production Capacity (MW),0
55810,Mount Magnet (S),Rural / Primacy Production Capacity (MW),232
55880,Mount Marshall (S),Rural / Primacy Production Capacity (MW),0
44830,Mount Remarkable (DC),Rural / Primacy Production Capacity (MW),0
25490,Moyne (S),Rural / Primacy Production Capacity (MW),1525
55950,Mukinbudin (S),Rural / Primacy Production Capacity (MW),137
56090,Mundaring (S),Rural / Primacy Production Capacity (MW),6503
56160,Murchison (S),Rural / Primacy Production Capacity (MW),13
56230,Murray (S),Rural / Primacy Production Capacity (MW),38941
45040,Murray Bridge (RC),Rural / Primacy Production Capacity (MW),0
15520,Murray River (A),Rural / Primacy Production Capacity (MW),29
25620,Murrindindi (S),Rural / Primacy Production Capacity (MW),305
15560,Murrumbidgee (A),Rural / Primacy Production Capacity (MW),0
35600,Murweh (S),Rural / Primacy Production Capacity (MW),0
15650,Muswellbrook (A),Rural / Primacy Production Capacity (MW),0
15700,Nambucca (A),Rural / Primacy Production Capacity (MW),0
56300,Nannup (S),Rural / Primacy Production Capacity (MW),2508
35670,Napranum (S),Rural / Primacy Production Capacity (MW),0
45090,Naracoorte and Lucindale (DC),Rural / Primacy Production Capacity (MW),0
56370,Narembeen (S),Rural / Primacy Production Capacity (MW),154
15750,Narrabri (A),Rural / Primacy Production Capacity (MW),0
15800,Narrandera (A),Rural / Primacy Production Capacity (MW),0
56460,Narrogin (S),Rural / Primacy Production Capacity (MW),0
15850,Narromine (A),Rural / Primacy Production Capacity (MW),0
56580,Nedlands (C),Rural / Primacy Production Capacity (MW),6987
15900,Newcastle (C),Rural / Primacy Production Capacity (MW),74663
56620,Ngaanyatjarraku (S),Rural / Primacy Production Capacity (MW),389
25710,Nillumbik (S),Rural / Primacy Production Capacity (MW),15502
35740,Noosa (S),Rural / Primacy Production Capacity (MW),5887
35760,North Burnett (R),Rural / Primacy Production Capacity (MW),0
15950,North Sydney (A),Rural / Primacy Production Capacity (MW),0
56730,Northam (S),Rural / Primacy Production Capacity (MW),4580
56790,Northampton (S),Rural / Primacy Production Capacity (MW),3143
45120,Northern Areas (DC),Rural / Primacy Production Capacity (MW),0
15990,Northern Beaches (A),Rural / Primacy Production Capacity (MW),7602
25810,Northern Grampians (S),Rural / Primacy Production Capacity (MW),170
64610,Northern Midlands (M),Rural / Primacy Production Capacity (MW),311
35780,Northern Peninsula Area (R),Rural / Primacy Production Capacity (MW),0
45290,Norwood Payneham St Peters (C),Rural / Primacy Production Capacity (MW),0
56860,Nungarin (S),Rural / Primacy Production Capacity (MW),0
16100,Oberon (A),Rural / Primacy Production Capacity (MW),0
45340,Onkaparinga (C),Rural / Primacy Production Capacity (MW),0
16150,Orange (C),Rural / Primacy Production Capacity (MW),0
45400,Orroroo/Carrieton (DC),Rural / Primacy Production Capacity (MW),0
35790,Palm Island (S),Rural / Primacy Production Capacity (MW),0
72800,Palmerston (C),Rural / Primacy Production Capacity (MW),11032
16200,Parkes (A),Rural / Primacy Production Capacity (MW),655
35800,Paroo (S),Rural / Primacy Production Capacity (MW),0
16260,Parramatta (C),Rural / Primacy Production Capacity (MW),0
16350,Penrith (C),Rural / Primacy Production Capacity (MW),1110
56930,Peppermint Grove (S),Rural / Primacy Production Capacity (MW),255
57000,Perenjori (S),Rural / Primacy Production Capacity (MW),467
57080,Perth (C),Rural / Primacy Production Capacity (MW),186
45540,Peterborough (DC),Rural / Primacy Production Capacity (MW),0
57140,Pingelly (S),Rural / Primacy Production Capacity (MW),31
57210,Plantagenet (S),Rural / Primacy Production Capacity (MW),2664
45680,Playford (C),Rural / Primacy Production Capacity (MW),0
36070,Pormpuraaw (S),Rural / Primacy Production Capacity (MW),8
45890,Port Adelaide Enfield (C),Rural / Primacy Production Capacity (MW),0
46090,Port Augusta (C),Rural / Primacy Production Capacity (MW),91
57280,Port Hedland (T),Rural / Primacy Production Capacity (MW),10800
46300,Port Lincoln (C),Rural / Primacy Production Capacity (MW),0
16380,Port Macquarie-Hastings (A),Rural / Primacy Production Capacity (MW),0
25900,Port Phillip (C),Rural / Primacy Production Capacity (MW),66017
46450,Port Pirie City and Dists (M),Rural / Primacy Production Capacity (MW),0
16400,Port Stephens (A),Rural / Primacy Production Capacity (MW),2174
46510,Prospect (C),Rural / Primacy Production Capacity (MW),0
25990,Pyrenees (S),Rural / Primacy Production Capacity (MW),595
57350,Quairading (S),Rural / Primacy Production Capacity (MW),0
16490,Queanbeyan-Palerang Regional (A),Rural / Primacy Production Capacity (MW),0
26080,Queenscliffe (B),Rural / Primacy Production Capacity (MW),580
36150,Quilpie (S),Rural / Primacy Production Capacity (MW),0
16550,Randwick (C),Rural / Primacy Production Capacity (MW),11137
57420,Ravensthorpe (S),Rural / Primacy Production Capacity (MW),1567
36250,Redland (C),Rural / Primacy Production Capacity (MW),4078
46670,Renmark Paringa (DC),Rural / Primacy Production Capacity (MW),0
36300,Richmond (S),Rural / Primacy Production Capacity (MW),0
16610,Richmond Valley (A),Rural / Primacy Production Capacity (MW),0
46860,Robe (DC),Rural / Primacy Production Capacity (MW),0
16650,Rockdale (C),Rural / Primacy Production Capacity (MW),0
36370,Rockhampton (R),Rural / Primacy Production Capacity (MW),36735
57490,Rockingham (C),Rural / Primacy Production Capacity (MW),412615
73600,Roper Gulf (R),Rural / Primacy Production Capacity (MW),865
46970,Roxby Downs (M),Rural / Primacy Production Capacity (MW),0
16700,Ryde (C),Rural / Primacy Production Capacity (MW),0
47140,Salisbury (C),Rural / Primacy Production Capacity (MW),0
57630,Sandstone (S),Rural / Primacy Production Capacity (MW),0
36510,Scenic Rim (R),Rural / Primacy Production Capacity (MW),614
57700,Serpentine-Jarrahdale (S),Rural / Primacy Production Capacity (MW),147709
57770,Shark Bay (S),Rural / Primacy Production Capacity (MW),3908
16900,Shellharbour (C),Rural / Primacy Production Capacity (MW),0
16950,Shoalhaven (C),Rural / Primacy Production Capacity (MW),0
17000,Singleton (A),Rural / Primacy Production Capacity (MW),0
17040,Snowy Monaro Regional (A),Rural / Primacy Production Capacity (MW),0
17080,Snowy Valleys (A),Rural / Primacy Production Capacity (MW),0
36580,Somerset (R),Rural / Primacy Production Capacity (MW),1169
64810,Sorell (M),Rural / Primacy Production Capacity (MW),308
36630,South Burnett (R),Rural / Primacy Production Capacity (MW),1430
26170,South Gippsland (S),Rural / Primacy Production Capacity (MW),140
57840,South Perth (C),Rural / Primacy Production Capacity (MW),5469
36660,Southern Downs (R),Rural / Primacy Production Capacity (MW),13
26260,Southern Grampians (S),Rural / Primacy Production Capacity (MW),278
47290,Southern Mallee (DC),Rural / Primacy Production Capacity (MW),0
65010,Southern Midlands (M),Rural / Primacy Production Capacity (MW),402
57910,Stirling (C),Rural / Primacy Production Capacity (MW),117493
26350,Stonnington (C),Rural / Primacy Production Capacity (MW),938
26430,Strathbogie (S),Rural / Primacy Production Capacity (MW),1083
17100,Strathfield (A),Rural / Primacy Production Capacity (MW),0
47490,Streaky Bay (DC),Rural / Primacy Production Capacity (MW),0
57980,Subiaco (C),Rural / Primacy Production Capacity (MW),3729
