LGA_CODE_2016,LGA_NAME_2016,Residential Capacity (MW),Rural / Primacy Production Capacity (MW),Industrial Capacity (MW),Commercial Capacity (MW),Mixed Capacity (MW),,,,,
61410,Clarence (C),23544,3239,20629,17332,5150,,,,,
11730,Clarence Valley (A),179097,0,59,6186,6734,,,,,
41190,Cleve (DC),36318,0,5149,0,1611,,,,,
32450,Cloncurry (S),21090,0,286,2659,0,,,,,
11750,Cobar (A),25060,0,0,2,691,,,,,
51820,Cockburn (C),49134,338507,585,7396,1690,,,,,
11800,Coffs Harbour (C),135212,0,3188,7735,10692,,,,,
21750,Colac-Otway (S),128239,61,0,6016,2101,,,,,
51890,Collie (S),41073,4491,2800,4942,1620,,,,,
41330,Coober Pedy (DC),0,0,0,0,176,,,,,
32500,Cook (S),11247,11,1712,2801,631,,,,,
12000,Coolamon (A),56660,0,0,6,62,,,,,
51960,Coolgardie (S),9459,759,0,4008,1446,,,,,
70700,Coomalie (S),475,47,0,3628,101,,,,,
12150,Coonamble (A),56515,0,0,5,5,,,,,
52030,Coorow (S),15890,326,150,346,416,,,,,
41560,Copper Coast (DC),39283,0,2067,5337,429,,,,,
21830,Corangamite (S),197085,2106,2,306,611,,,,,
52100,Corrigin (S),24967,0,96,53,23,,,,,
52170,Cottesloe (T),0,1313,0,817,25,,,,,
12350,Cowra (A),79538,0,0,1155,1922,,,,,
32600,Croydon (S),1555,4,26,95,11,,,,,
52310,Cuballing (S),21942,20,2887,80,394,,,,,
52380,Cue (S),3455,159,190,302,428,,,,,
12380,Cumberland (A),29,0,51190,22368,12541,,,,,
52450,Cunderdin (S),22563,80,0,2961,411,,,,,
52520,Dalwallinu (S),28853,2230,0,1282,1099,,,,,
52590,Dandaragan (S),38794,6623,0,2225,2638,,,,,
52660,Dardanup (S),40380,17360,0,6758,189,,,,,
21890,Darebin (C),0,7184,19237,22602,4754,,,,,
71000,Darwin (C),1345,50355,5160,51283,9357,,,,,
52730,Denmark (S),45027,0,577,4520,3827,,,,,
52800,Derby-West Kimberley (S),2880,568,1929,2887,541,,,,,
61510,Derwent Valley (M),37150,2514,8642,3838,888,,,,,
61610,Devonport (C),46981,0,3434,2896,3552,,,,,
32750,Diamantina (S),2723,0,2508,0,227,,,,,
52870,Donnybrook-Balingup (S),49903,786,53,2377,886,,,,,
32770,Doomadgee (S),2363,0,0,185,5,,,,,
61810,Dorset (M),49765,3032,7800,2248,795,,,,,
32810,Douglas (S),4922,2,3205,4867,997,,,,,
52940,Dowerin (S),19420,389,0,644,929,,,,,
53010,Dumbleyung (S),17530,415,0,862,412,,,,,
53080,Dundas (S),11615,115,0,910,322,,,,,
12700,Dungog (A),75407,0,12,169,1054,,,,,
71300,East Arnhem (R),7856,780,0,1592,593,,,,,
53150,East Fremantle (T),0,0,1097,709,71,,,,,
22110,East Gippsland (S),168006,1589,5416,11067,4260,,,,,
53220,East Pilbara (S),88710,4609,4156,4169,2547,,,,,
12730,Edward River (A),70763,0,0,50,2585,,,,,
41750,Elliston (DC),18618,0,1150,5,642,,,,,
