LGA_CODE_2016,LGA_NAME_2016,Residential Capacity (MW),Rural / Primacy Production Capacity (MW),Industrial Capacity (MW),Commercial Capacity (MW),Mixed Capacity (MW),,,,,
58400,Trayning (S),12348,1119,0,556,239,,,,,
47910,Tumby Bay (DC),20578,0,2270,14,817,,,,,
17550,Tweed (A),128179,0,8978,2515,21351,,,,,
99399,Unincorp. Other Territories,606,0,42,58,50,,,,,
89399,Unincorporated ACT,3198,107986,46447,153538,13908,,,,,
19399,Unincorporated NSW,1397,0,168,6,66,,,,,
79399,Unincorporated NT,4773,6109,37,4850,261,,,,,
49399,Unincorporated SA,3191,0,2778,425,985,,,,,
29399,Unincorporated Vic,7097,868,19,293,227,,,,,
47980,Unley (C),0,0,4719,10810,0,,,,,
58470,Upper Gascoyne (S),0,0,0,0,0,,,,,
17620,Upper Hunter Shire (A),121056,0,4134,6,4039,,,,,
17640,Upper Lachlan Shire (A),99543,0,600,412,1152,,,,,
17650,Uralla (A),52067,0,1075,0,664,,,,,
48050,Victor Harbor (C),20907,0,1407,0,2994,,,,,
74550,Victoria Daly (R),2728,361,0,408,156,,,,,
58510,Victoria Park (T),0,6233,1260,2676,884,,,,,
58540,Victoria Plains (S),38115,610,1,869,466,,,,,
58570,Vincent (C),0,389,6761,3031,1161,,,,,
74560,Wagait (S),414,41,0,84,31,,,,,
17750,Wagga Wagga (C),166240,72,3046,17267,6381,,,,,
58610,Wagin (S),33588,0,0,1586,1088,,,,,
48130,Wakefield (DC),111471,0,16697,1633,497,,,,,
17850,Walcha (A),52399,0,1154,0,314,,,,,
17900,Walgett (A),77092,0,45,2,1265,,,,,
48260,Walkerville (M),0,0,0,2155,30,,,,,
58680,Wandering (S),8938,13,135,255,207,,,,,
26700,Wangaratta (RC),151364,3481,4857,10445,1737,,,,,
58760,Wanneroo (C),109911,714664,718,10845,849,,,,,
65410,Waratah/Wynyard (M),61278,62,3081,1166,928,,,,,
58820,Waroona (S),18447,7815,0,2800,420,,,,,
17950,Warren (A),29444,0,0,374,815,,,,,
26730,Warrnambool (C),28569,1722,1401,12853,3216,,,,,
18020,Warrumbungle Shire (A),116761,0,0,2,930,,,,,
48340,Wattle Range (DC),99886,0,13708,3587,205,,,,,
18050,Waverley (A),0,0,11870,9937,2208,,,,,
18100,Weddin (A),52792,0,0,11,16,,,,,
37300,Weipa (T),6103,0,0,2712,3004,,,,,
26810,Wellington (S),217086,3654,627,5593,5218,,,,,
18200,Wentworth (A),62978,39,2,900,472,,,,,
74660,West Arnhem (R),5677,2998,0,1151,729,,,,,
58890,West Arthur (S),24577,55,24,759,344,,,,,
65610,West Coast (M),11974,0,269,1606,471,,,,,
74680,West Daly (R),2841,376,0,425,162,,,,,
65810,West Tamar (M),35651,1068,4056,3878,1119,,,,,
48410,West Torrens (C),0,0,173,1909,1123,,,,,
26890,West Wimmera (S),84243,63,0,619,345,,,,,
37310,Western Downs (R),348553,4,77840,1361,7520,,,,,
18230,Western Plains Regional (A),146367,0,6331,7464,8079,,,,,
59030,Westonia (S),160,10,0,0,11,,,,,
26980,Whitehorse (C),0,493,2518,27844,5626,,,,,
37340,Whitsunday (R),128499,19604,415,161,12065,,,,,
27070,Whittlesea (C),65811,142333,17715,28147,3947,,,,,
48540,Whyalla (C),0,0,682,4811,2173,,,,,
59100,Wickepin (S),18120,4,465,262,371,,,,,
59170,Williams (S),30853,254,0,1372,45,,,,,
18250,Willoughby (C),32922,0,7117,5891,2186,,,,,
59250,Wiluna (S),15435,0,167,0,18,,,,,
18350,Wingecarribee (A),79132,0,3215,2553,3723,,,,,
37400,Winton (S),18523,0,10043,24,448,,,,,
27170,Wodonga (C),33872,23092,5921,13029,2173,,,,,
18400,Wollondilly (A),208994,12,4719,4207,2395,,,,,
18450,Wollongong (C),35570,11802,8815,25425,15986,,,,,
59310,Wongan-Ballidu (S),33028,227,2354,2300,477,,,,,
59320,Woodanilling (S),14828,15,0,267,146,,,,,
18500,Woollahra (A),0,0,4814,8373,4325,,,,,
37550,Woorabinda (S),40,0,46,0,0,,,,,
48640,Wudinna (DC),34324,0,1760,383,1195,,,,,
37570,Wujal Wujal (S),627,0,162,212,15,,,,,
59330,Wyalkatchem (S),13467,74,0,921,281,,,,,
27260,Wyndham (C),58222,125135,29696,16110,4047,,,,,
59340,Wyndham-East Kimberley (S),18162,336,1536,3596,691,,,,,
59350,Yalgoo (S),12885,1406,357,293,752,,,,,
48750,Yankalilla (DC),476,0,5407,1567,285,,,,,
27350,Yarra (C),0,6963,29705,9614,3115,,,,,
27450,Yarra Ranges (S),"543,349","10,409",2004,25329,5200,,,,,
37600,Yarrabah (S),"11,181",31,196,662,69,,,,,
27630,Yarriambiack (S),"120,164","1,116",0,4142,1111,,,,,
18710,Yass Valley (A),"76,694",0,177,150,615,,,,,
59360,Yilgarn (S),"32,278","4,684",0,2413,334,,,,,
59370,York (S),"42,725","1,011",268,"1,557","1,020",,,,,
48830,Yorke Peninsula (DC),"128,461",0,"67,495","5,416","1,818",,,,,
